tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
399,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,307.4539116244253,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
473,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,345.9371347101979,38.48322308577258,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
571,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,432.49248596143923,86.55535125124135,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
752,plate,put down,Counter_22,Counter,22,put down plate on counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,518.8190719740335,86.32658601259425,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
752,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,518.8190719740335,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
792,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,534.8190719740328,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
819,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,534.8190719740328,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1015,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,739.5742003520986,204.75512837806582,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1060,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,755.5742003520982,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1097,plate,put down,Counter_22,Counter,22,put down plate on counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,755.5742003520982,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1152,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,755.5742003520982,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1170,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,755.5742003520982,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1288,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,771.5742003520977,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1332,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,803.5742003520966,31.999999999998863,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1362,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,819.5742003520959,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1403,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,851.5742003520945,31.999999999998636,1.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1539,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,899.5742003520924,47.99999999999784,1.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1606,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,963.5742003520897,63.999999999997385,1.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1710,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,979.5742003520893,15.999999999999545,2.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1726,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,979.5742003520893,0.0,2.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1833,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,995.5742003520888,15.999999999999545,2.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1874,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_723f1f65,encouraged_division_of_labor_large,d670ea4d0fdacfad,train,1027.5742003520877,31.999999999998863,2.0,0.0,0.0,1.0,1.0,"(1, 2)",69150ac6dc188c50335e3e3d,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
