tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
319,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
506,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,92.44436588565893,76.44436588565893,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
679,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,204.44436588565893,112.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
814,plate,put down,Counter_22,Counter,22,put down plate on counter,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,290.75715717360055,86.31279128794162,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
939,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,377.3125084248419,86.55535125124135,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1065,plate,put down,Counter_23,Counter,23,put down plate on counter,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,470.3167844825574,93.00427605771551,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1137,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,524.6349028784778,54.31811839592035,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1180,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,540.6349028784773,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1309,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,588.6349028784757,47.99999999999841,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1483,plate,put down,Counter_23,Counter,23,put down plate on counter,player_d002ccdc,baseline_division_of_labor_large,600b5bb67134e167,train,652.6349028784732,63.9999999999975,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6632a8b08840feed9c8bb1e0,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
